"GameId","GameDate","Quarter","Minute","Second","OffenseTeam","DefenseTeam","Down","ToGo","YardLine","SeriesFirstDown","NextScore","Description","TeamWin","SeasonYear","Yards","Formation","PlayType","IsRush","IsPass","IsIncomplete","IsTouchdown","PassType","IsSack","IsChallenge","IsChallengeReversed","Challenger","IsMeasurement","IsInterception","IsFumble","IsPenalty","IsTwoPointConversion","IsTwoPointConversionSuccessful","RushDirection","YardLineFixed","YardLineDirection","IsPenaltyAccepted","PenaltyTeam","IsNoPlay","PenaltyType","PenaltyYards"
2024122801,"2024-12-28",1,11,22,"DEN","CIN",1,10,20,0,0,"(11:22) (SHOTGUN) 10-B.NIX SCRAMBLES LEFT END PUSHED OB AT CIN 15 FOR 5 YARDS (59-A.DAVIS-GAITHER).",0,2024,5,"SHOTGUN","SCRAMBLE",1,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",80,"OPP",0,"",0,"",0
2024122801,"2024-12-28",1,12,4,"DEN","CIN",3,5,36,1,0,"(12:04) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 17-D.VELE TO CIN 20 FOR 16 YARDS (28-J.NEWTON).",0,2024,16,"SHOTGUN","PASS",0,1,0,0,"SHORT MIDDLE",0,0,0,NA,0,0,0,0,0,0,"",64,"OPP",0,"",0,"",0
2024122801,"2024-12-28",1,12,47,"DEN","CIN",2,7,38,0,0,"(12:47) 10-B.NIX SCRAMBLES RIGHT END RAN OB AT CIN 36 FOR 2 YARDS (57-G.PRATT).",0,2024,2,"UNDER CENTER","SCRAMBLE",1,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",62,"OPP",0,"",0,"",0
2024122801,"2024-12-28",1,13,18,"DEN","CIN",1,10,41,0,0,"(13:18) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 38-J.MCLAUGHLIN PUSHED OB AT CIN 38 FOR 3 YARDS (29-C.TAYLOR-BRITT).",0,2024,3,"SHOTGUN","PASS",0,1,0,0,"SHORT LEFT",0,0,0,NA,0,0,0,0,0,0,"",59,"OPP",0,"",0,"",0
2024122801,"2024-12-28",3,6,15,"DEN","CIN",2,11,49,0,0,"(6:15) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS PUSHED OB AT CIN 40 FOR 9 YARDS (28-J.NEWTON).",0,2024,9,"SHOTGUN","PASS",0,1,0,0,"SHORT LEFT",0,0,0,NA,0,0,0,0,0,0,"",51,"OPP",0,"",0,"",0
2025010504,"2025-01-05",1,2,51,"DEN","KC",0,0,0,1,0,"TIMEOUT AT 02:51.",0,2024,0,"UNDER CENTER","",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
2024122801,"2024-12-28",2,0,29,"DEN","CIN",0,0,0,1,0,"TIMEOUT #3 BY DEN AT 00:29.",0,2024,0,"UNDER CENTER","TIMEOUT",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
2024122801,"2024-12-28",2,0,35,"DEN","CIN",1,10,45,0,0,"(:35) (NO HUDDLE, SHOTGUN) 10-B.NIX SACKED AT DEN 48 FOR -7 YARDS (SACK SPLIT BY 58-J.OSSAI AND 91-T.HENDRICKSON). FUMBLES (58-J.OSSAI) [91-T.HENDRICKSON], RECOVERED BY DEN-60-L.WATTENBERG AT DEN 48.",0,2024,-7,"NO HUDDLE SHOTGUN","SACK",0,0,0,0,"",1,0,0,NA,0,0,1,0,0,0,"",55,"OPP",0,"",0,"",0
2024121901,"2024-12-19",2,0,8,"DEN","LAC",0,0,0,1,0,"TIMEOUT #1 BY LAC AT 00:08.",0,2024,0,"UNDER CENTER","TIMEOUT",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
2024121901,"2024-12-19",2,8,50,"DEN","LAC",0,0,35,1,0,"11-C.DICKER KICKS 65 YARDS FROM LAC 35 TO END ZONE, TOUCHBACK TO THE DEN 30.",0,2024,0,"UNDER CENTER","KICK OFF",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",65,"OPP",0,"",0,"",0
2024121901,"2024-12-19",2,12,55,"DEN","LAC",2,1,2,1,0,"(12:55) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS PUSHED OB AT LAC 1 FOR 1 YARD (7-K.FULTON).",0,2024,1,"SHOTGUN","PASS",0,1,0,0,"SHORT LEFT",0,0,0,NA,0,0,0,0,0,0,"",98,"OPP",0,"",0,"",0
2024122801,"2024-12-28",4,1,29,"DEN","CIN",0,0,35,1,0,"3-C.YORK KICKS 65 YARDS FROM CIN 35 TO END ZONE, TOUCHBACK TO THE DEN 30.",0,2024,0,"UNDER CENTER","KICK OFF",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",65,"OPP",0,"",0,"",0
2024122801,"2024-12-28",4,2,57,"DEN","CIN",2,9,48,0,0,"(2:57) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS TO DEN 46 FOR -6 YARDS (92-B.HILL).",0,2024,-6,"UNDER CENTER","PASS",0,1,0,0,"SHORT LEFT",0,0,0,NA,0,0,0,0,0,0,"",52,"OPP",0,"",0,"",0
2024122801,"2024-12-28",4,3,37,"DEN","CIN",1,10,49,0,0,"(3:37) 23-A.ESTIME RIGHT GUARD TO CIN 48 FOR 1 YARD (21-M.HILTON, 57-G.PRATT).",0,2024,1,"UNDER CENTER","RUSH",1,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"RIGHT GUARD",51,"OPP",0,"",0,"",0
