"GameId","GameDate","Quarter","Minute","Second","OffenseTeam","DefenseTeam","Down","ToGo","YardLine","SeriesFirstDown","NextScore","Description","TeamWin","SeasonYear","Yards","Formation","PlayType","IsRush","IsPass","IsIncomplete","IsTouchdown","PassType","IsSack","IsChallenge","IsChallengeReversed","Challenger","IsMeasurement","IsInterception","IsFumble","IsPenalty","IsTwoPointConversion","IsTwoPointConversionSuccessful","RushDirection","YardLineFixed","YardLineDirection","IsPenaltyAccepted","PenaltyTeam","IsNoPlay","PenaltyType","PenaltyYards"
2024122212,"2024-12-22",4,0,0,"MIA","SF",0,0,0,1,0,"END GAME",0,2024,0,"UNDER CENTER","",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
2024093000,"2024-09-30",2,6,30,"MIA","TEN",3,11,46,1,0,"(6:30) (SHOTGUN) 18-T.HUNTLEY LEFT GUARD TO TEN 34 FOR 12 YARDS (28-Q.DIGGS).",0,2024,12,"SHOTGUN","RUSH",1,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"LEFT GUARD",54,"OPP",0,"",0,"",0
2024093000,"2024-09-30",2,5,51,"MIA","TEN",1,10,34,0,0,"(5:51) (SHOTGUN) 18-T.HUNTLEY PASS INCOMPLETE DEEP RIGHT TO 10-T.HILL (37-A.HOOKER).",0,2024,0,"SHOTGUN","PASS",0,1,1,0,"DEEP RIGHT",0,0,0,NA,0,0,0,0,0,0,"",66,"OPP",0,"",0,"",0
2024093000,"2024-09-30",2,5,43,"MIA","TEN",2,10,34,0,0,"(5:43) (SHOTGUN) 18-T.HUNTLEY PASS SHORT LEFT TO 28-D.ACHANE TO TEN 30 FOR 4 YARDS (56-K.MURRAY; 97-J.LYNCH).",0,2024,4,"SHOTGUN","PASS",0,1,0,0,"SHORT LEFT",0,0,0,NA,0,0,0,0,0,0,"",66,"OPP",0,"",0,"",0
2024100605,"2024-10-06",1,1,25,"MIA","NE",1,10,22,0,0,"(1:25) (SHOTGUN) 31-R.MOSTERT LEFT GUARD TO NE 20 FOR 2 YARDS (95-D.EKUALE).",0,2024,2,"SHOTGUN","RUSH",1,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"LEFT GUARD",78,"OPP",0,"",0,"",0
2024122911,"2024-12-29",4,3,47,"MIA","CLE",1,6,6,0,0,"(3:47) 23-J.WILSON LEFT GUARD TO CLE 7 FOR -1 YARDS (94-D.TOMLINSON, 57-I.MCGUIRE).",0,2024,-1,"UNDER CENTER","RUSH",1,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"LEFT GUARD",94,"OPP",0,"",0,"",0
2024122911,"2024-12-29",3,11,12,"MIA","CLE",1,10,13,1,0,"(11:12) (SHOTGUN) 18-T.HUNTLEY SCRAMBLES RIGHT END FOR 13 YARDS, TOUCHDOWN.",0,2024,13,"SHOTGUN","SCRAMBLE",1,0,0,1,"",0,0,0,NA,0,0,0,0,0,0,"",87,"OPP",0,"",0,"",0
2024122212,"2024-12-22",4,3,42,"MIA","SF",2,10,35,0,0,"(3:42) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 28-D.ACHANE TO SF 28 FOR 7 YARDS (94-Y.GROSS-MATOS).",0,2024,7,"SHOTGUN","PASS",0,1,0,0,"SHORT LEFT",0,0,0,NA,0,0,0,0,0,0,"",65,"OPP",0,"",0,"",0
2024122212,"2024-12-22",4,9,38,"MIA","SF",4,8,0,0,0,"(9:38) 16-J.BAILEY PUNTS 40 YARDS TO SF 10, CENTER-47-J.MCQUAIDE, FAIR CATCH BY 19-J.COWING.",0,2024,0,"PUNT","PUNT",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
2024122212,"2024-12-22",4,9,42,"MIA","SF",3,8,0,0,0,"(9:42) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 85-R.CRACRAFT.",0,2024,0,"SHOTGUN","PASS",0,1,1,0,"SHORT RIGHT",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
