"GameId","GameDate","Quarter","Minute","Second","OffenseTeam","DefenseTeam","Down","ToGo","YardLine","SeriesFirstDown","NextScore","Description","TeamWin","SeasonYear","Yards","Formation","PlayType","IsRush","IsPass","IsIncomplete","IsTouchdown","PassType","IsSack","IsChallenge","IsChallengeReversed","Challenger","IsMeasurement","IsInterception","IsFumble","IsPenalty","IsTwoPointConversion","IsTwoPointConversionSuccessful","RushDirection","YardLineFixed","YardLineDirection","IsPenaltyAccepted","PenaltyTeam","IsNoPlay","PenaltyType","PenaltyYards"
2025010401,"2025-01-04",2,5,32,"PIT","CIN",0,0,0,1,0,"TIMEOUT AT 05:32.",0,2024,0,"UNDER CENTER","",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
2025010401,"2025-01-04",2,6,33,"PIT","CIN",0,0,0,1,0,"TIMEOUT AT 06:33.",0,2024,0,"UNDER CENTER","",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
2025010401,"2025-01-04",2,9,57,"PIT","CIN",1,1,1,1,0,"(9:57) 74-S.ANDERSON REPORTED IN AS ELIGIBLE.  22-N.HARRIS LEFT TACKLE FOR 1 YARD, TOUCHDOWN.",0,2024,1,"UNDER CENTER","RUSH",1,0,0,1,"",0,0,0,NA,0,0,0,0,0,0,"LEFT TACKLE",99,"OPP",0,"",0,"",0
2025010401,"2025-01-04",2,10,1,"PIT","CIN",3,6,6,0,0,"(10:01) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 80-D.WASHINGTON. PENALTY ON CIN-29-C.TAYLOR-BRITT, DEFENSIVE PASS INTERFERENCE, 5 YARDS, ENFORCED AT CIN 6 - NO PLAY.",0,2024,0,"SHOTGUN","PASS",0,1,1,0,"SHORT LEFT",0,0,0,NA,0,0,0,1,0,0,"",94,"OPP",1,"CIN",1,"DEFENSIVE PASS INTERFERENCE",5
2025010401,"2025-01-04",2,10,43,"PIT","CIN",2,8,8,0,0,"(10:43) (NO HUDDLE, SHOTGUN) 22-N.HARRIS UP THE MIDDLE TO CIN 6 FOR 2 YARDS (21-M.HILTON; 92-B.HILL).",0,2024,2,"NO HUDDLE SHOTGUN","RUSH",1,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"CENTER",92,"OPP",0,"",0,"",0
2024122500,"2024-12-25",4,0,0,"PIT","KC",0,0,0,1,0,"END GAME",0,2024,0,"UNDER CENTER","",0,0,0,0,"",0,0,0,NA,0,0,0,0,0,0,"",100,"OPP",0,"",0,"",0
2024122500,"2024-12-25",4,0,2,"PIT","KC",1,8,8,0,0,"(:02) (NO HUDDLE, SHOTGUN) PENALTY ON PIT-13-S.MILLER, FALSE START, 5 YARDS, ENFORCED AT KC 8 - NO PLAY.",0,2024,0,"NO HUDDLE SHOTGUN","NO PLAY",0,0,0,0,"",0,0,0,NA,0,0,0,1,0,0,"",92,"OPP",1,"PIT",1,"FALSE START",5
2024122500,"2024-12-25",4,0,22,"PIT","KC",3,2,11,1,0,"(:22) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 30-J.WARREN TO KC 8 FOR 3 YARDS (50-S.BOZEMAN).",0,2024,3,"NO HUDDLE SHOTGUN","PASS",0,1,0,0,"SHORT MIDDLE",0,0,0,NA,0,0,0,0,0,0,"",89,"OPP",0,"",0,"",0
2024122500,"2024-12-25",4,0,30,"PIT","KC",2,2,11,0,0,"(:30) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT.",0,2024,0,"NO HUDDLE SHOTGUN","PASS",0,1,1,0,"SHORT LEFT",0,0,0,NA,0,0,0,0,0,0,"",89,"OPP",0,"",0,"",0
2024122500,"2024-12-25",4,0,37,"PIT","KC",1,10,19,0,0,"(:37) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 19-C.AUSTIN RAN OB AT KC 11 FOR 8 YARDS [44-CA.JONES].",0,2024,8,"NO HUDDLE SHOTGUN","PASS",0,1,0,0,"SHORT LEFT",0,0,0,NA,0,0,0,0,0,0,"",81,"OPP",0,"",0,"",0
